"","surface_protein_gene"
"490","HPN"
"491","GYPB"
"492","CD1A"
"493","CD5"
"494","INSR"
"495","LCK"
"496","FYN"
"497","IGKV4-1"
"498","IGHV4-34"
"499","S100A9"
"500","S100A6"
"501","CD2"
"502","CEACAM5"
"503","ENO1"
"504","FCER2"
"505","ITGAV"
"506","P4HB"
"507","FES"
"508","CSF1R"
"509","C8A"
"510","CAPN1"
"511","CHRNG"
"512","ADRB2"
"513","CTSL"
"514","CD3E"
"515","CTSB"
"516","HSP90AA1"
"517","UMOD"
"518","YES1"
"519","LYN"
"520","GJB1"
"521","IGF1R"
"522","RHOC"
"523","NGFR"
"524","CHRM2"
"525","CHRM4"
"526","CD55"
"527","ABCB1"
"528","SLC3A2"
"529","HSP90AB1"
"530","CTSG"
"531","MME"
"532","CD14"
"533","PTPRC"
"534","MELTF"
"535","ADRB1"
"536","HCK"
"537","FCGR3A"
"538","VIM"
"539","GNAI3"
"540","RPSA"
"541","IL6R"
"542","HTR1A"
"543","ABHD2"
"544","CHRM5"
"545","ADRA2A"
"546","ROS1"
"547","CD63"
"548","PKHD1"
"549","ENO2"
"550","CD48"
"551","HMGB1"
"552","GNAO1"
"553","CSF1"
"554","PDGFRB"
"555","CD3G"
"556","FGR"
"557","LCT"
"558","ALPI"
"559","FURIN"
"560","FBXO45"
"561","MYZAP"
"562","IGLC6"
"563","IGLC1"
"564","CFC1"
"565","ADORA3"
"566","IGLC2"
"567","IGLC3"
"568","LYNX1"
"569","TRA"
"570","TRB"
"571","RRAS"
"572","HLA-C"
"573","MAPT"
"574","PRKAR1A"
"575","ALPG"
"576","KIT"
"577","GHR"
"578","CD8B"
"579","HSPA8"
"580","SLC2A1"
"581","SLC2A2"
"582","SLC2A3"
"583","ITGAM"
"584","CHRM1"
"585","CHRNB1"
"586","RALA"
"587","RALB"
"588","LAMP1"
"589","PIM1"
"590","FGFR1"
"591","DMD"
"592","PSKH1"
"593","MS4A1"
"594","CD79A"
"595","FCGR1A"
"596","FCGR2A"
"597","FCER1A"
"598","ACTN1"
"599","ACE"
"600","CDH1"
"601","SRC"
"602","IFITM1"
"603","TDGF1"
"604","LAMP2"
"605","CYBA"
"606","NCAM1"
"607","ATP1A3"
"608","CEACAM1"
"609","HLA-E"
"610","HLA-DRB4"
"611","LCP1"
"612","PRKAR2A"
"613","SLC5A1"
"614","ADRB3"
"615","CD59"
"616","SELL"
"617","FOLR2"
"618","PRF1"
"619","CPM"
"620","SI"
"621","ATP1B2"
"622","AKR1A1"
"623","PLA2G2A"
"624","SLC2A4"
"625","IDE"
"626","IL1R1"
"627","IL2RB"
"628","GABRA1"
"629","BRAF"
"630","GLUL"
"631","ANPEP"
"632","PVR"
"633","IFNGR1"
"634","B4GALT1"
"635","ACP3"
"636","EZR"
"637","ATP6V1B1"
"638","FOLR1"
"639","KCNE1"
"640","CD19"
"641","CSF2RA"
"642","CD1D"
"643","DSP"
"644","MUC1"
"645","ALOX15"
"646","CD44"
"647","SELP"
"648","ITGB4"
"649","PDGFRA"
"650","PECAM1"
"651","KCNA2"
"652","CTLA4"
"653","EPCAM"
"654","DPEP1"
"655","EPB42"
"656","TSHR"
"657","PDE6A"
"658","SELE"
"659","FER"
"660","CD36"
"661","IL7R"
"662","RHOQ"
"663","IFNAR1"
"664","PRKCA"
"665","GJA1"
"666","NPR3"
"667","PRKACA"
"668","CAPN2"
"669","KCNA6"
"670","DES"
"671","GAP43"
"672","HLA-G"
"673","PTPN2"
"674","CHRNB2"
"675","ENG"
"676","FLT1"
"677","ADRA2B"
"678","VCL"
"679","PTPRA"
"680","GABRB1"
"681","GABRG2"
"682","LAG3"
"683","ADRA2C"
"684","ATF4"
"685","EPOR"
"686","CD58"
"687","CD53"
"688","TNFRSF1A"
"689","GGT1"
"690","SLC9A1"
"691","ATP2B1"
"692","CR2"
"693","HLA-DPA1"
"694","CD33"
"695","CD22"
"696","CHRM3"
"697","TNFRSF1B"
"698","RAB3B"
"699","RAB5A"
"700","NPR2"
"701","ATP4A"
"702","ITGAL"
"703","EFNA1"
"704","MAG"
"705","CD247"
"706","ATP6V1B2"
"707","NF1"
"708","ABCB4"
"709","TACR2"
"710","S1PR1"
"711","FPR1"
"712","CNR1"
"713","KITLG"
"714","NT5E"
"715","EPHA1"
"716","DRD1"
"717","C5AR1"
"718","TBXA2R"
"719","ZP3"
"720","VDAC1"
"721","FGFR2"
"722","ERBB3"
"723","DRD4"
"724","DRD5"
"725","CD9"
"726","COMT"
"727","TGM2"
"728","KCNA3"
"729","CDH3"
"730","ACHE"
"731","ENPP1"
"732","FGFR4"
"733","KCNA4"
"734","KCNA5"
"735","FGFR3"
"736","CBL"
"737","PRKACB"
"738","SLC2A5"
"739","CA4"
"740","LHCGR"
"741","MRC1"
"742","IGHV1-2"
"743","ITGA6"
"744","KEL"
"745","ANOS1"
"746","GLRA1"
"747","GLRA2"
"748","CBLN1"
"749","PTPRE"
"750","PTPRZ1"
"751","MCC"
"752","OMG"
"753","CFL1"
"754","ATP2B4"
"755","SLC6A2"
"756","GABRR1"
"757","FCAR"
"758","PRTN3"
"759","IL4R"
"760","EDNRB"
"761","HRH2"
"762","CXCR1"
"763","CXCR2"
"764","APC"
"765","CD24"
"766","FPR3"
"767","FPR2"
"768","GUCY2C"
"769","GRK2"
"770","ADRA1D"
"771","EDNRA"
"772","TACR1"
"773","PTAFR"
"774","ACKR3"
"775","F2R"
"776","MPZ"
"777","FAS"
"778","ATP5F1A"
"779","S100P"
"780","NPY1R"
"781","CD40"
"782","ITGA3"
"783","ITGB8"
"784","MSN"
"785","PTPN3"
"786","CTNNA2"
"787","KLRC1"
"788","KLRC2"
"789","KLRK1"
"790","CNTFR"
"791","STOM"
"792","ANXA13"
"793","MARK3"
"794","DPP4"
"795","CD82"
"796","PDE4A"
"797","IL1R2"
"798","HTR1D"
"799","HTR1B"
"800","HTR2A"
"801","HTR2C"
"802","NMBR"
"803","GABRB3"
"804","GABRR2"
"805","HTR1E"
"806","PTPRM"
"807","TNFRSF8"
"808","CD1B"
"809","CD1C"
"810","GJB2"
"811","PTPN4"
"812","ADORA2A"
"813","ADORA2B"
"814","EPHA2"
"815","EPHA3"
"816","EPHA8"
"817","EPHB2"
"818","TACR3"
"819","LTK"
"820","CASP1"
"821","NOS3"
"822","NOS1"
"823","CD40LG"
"824","AQP1"
"825","CNGA1"
"826","GNA11"
"827","PPP2R1A"
"828","CD6"
"829","FCER1G"
"830","MIP"
"831","BDKRB2"
"832","NKTR"
"833","HLA-F"
"834","AVPR2"
"835","AXL"
"836","SLC6A1"
"837","CHRNA5"
"838","ADORA1"
"839","GRPR"
"840","AGTR1"
"841","SLC7A1"
"842","SSTR1"
"843","SSTR2"
"844","CHRNB4"
"845","HTR1F"
"846","GNRHR"
"847","CALCR"
"848","NTSR1"
"849","PRKAR1B"
"850","PRKAR2B"
"851","CD52"
"852","SSTR4"
"853","SLC5A2"
"854","SLC6A6"
"855","GABRA5"
"856","SLC6A4"
"857","AKT1"
"858","AKT2"
"859","IL2RG"
"860","FCGR2B"
"861","FCGR2C"
"862","CEACAM8"
"863","L1CAM"
"864","ARRB2"
"865","CCKAR"
"866","CCKBR"
"867","VIPR1"
"868","MC4R"
"869","CCR1"
"870","BRS3"
"871","CCR7"
"872","GPR183"
"873","CHRNA3"
"874","CXCR5"
"875","SLC8A1"
"876","GBP1"
"877","SSTR3"
"878","DSG3"
"879","MC5R"
"880","CDH5"
"881","LSP1"
"882","ABCC1"
"883","CD68"
"884","GABRA3"
"885","GRK5"
"886","HTR7"
"887","CNR2"
"888","TRHR"
"889","OR1D2"
"890","CRHR1"
"891","GPC1"
"892","BTC"
"893","USP6"
"894","GJA4"
"895","CTNNB1"
"896","PHB1"
"897","NF2"
"898","RDX"
"899","SSTR5"
"900","ADRA1A"
"901","HRH1"
"902","ADRA1B"
"903","OPRM1"
"904","PTGER4"
"905","APLNR"
"906","DRD3"
"907","SCN1A"
"908","SCN4A"
"909","CLCN1"
"910","TIE1"
"911","ADD1"
"912","ADD2"
"913","BSG"
"914","FLT4"
"915","KDR"
"916","SLC16A2"
"917","GJA5"
"918","GJC1"
"919","ATP6V1E1"
"920","CHRNA7"
"921","BMPR1A"
"922","ACVR1B"
"923","TGFBR1"
"924","ACVRL1"
"925","SCNN1A"
"926","AVPR1A"
"927","IFNGR2"
"928","SPAM1"
"929","GRIK1"
"930","PLA2G5"
"931","CAP2"
"932","ADCY8"
"933","IL6ST"
"934","CEACAM6"
"935","MPL"
"936","CD79B"
"937","ARL4A"
"938","USP8"
"939","SLC26A3"
"940","OPRD1"
"941","OPRK1"
"942","OPRL1"
"943","CASR"
"944","AQP2"
"945","CD200"
"946","RGS2"
"947","P2RY2"
"948","CSK"
"949","SLC19A1"
"950","ADCYAP1R1"
"951","VIPR2"
"952","GRM5"
"953","HTR2B"
"954","CCR2"
"955","MC3R"
"956","CD86"
"957","GRIA1"
"958","GRIA2"
"959","GRIA3"
"960","PI4KA"
"961","EPS15"
"962","DPP6"
"963","TEC"
"964","TXK"
"965","LIFR"
"966","ECE1"
"967","SLC1A3"
"968","SLC1A2"
"969","SLC1A1"
"970","GDF5"
"971","PTGFR"
"972","PTGER3"
"973","PTGIR"
"974","GLP1R"
"975","CTSK"
"976","ALDH3B1"
"977","ZAP70"
"978","SYK"
"979","KIR2DL1"
"980","KIR2DL3"
"981","KIR3DL1"
"982","KIR3DL2"
"983","KIR2DS2"
"984","KIR2DS4"
"985","LPAR6"
"986","CHRNA4"
"987","ABCG1"
"988","PHKA2"
"989","PHKA1"
"990","SLC15A1"
"991","GPR3"
"992","CMKLR2"
"993","CCR10"
"994","GPR4"
"995","XCR1"
"996","HTR3A"
"997","CRK"
"998","NOTCH1"
"999","BDKRB1"
"1000","SLCO1A2"
"1001","NEDD4"
"1002","UTRN"
"1003","IQGAP1"
"1004","GALR1"
"1005","GABRA2"
