"","surface_protein_gene"
"2637","RHCG"
"2638","MYOT"
"2639","XPR1"
"2640","STOML1"
"2641","GNG12"
"2642","CPNE7"
"2643","P2RX2"
"2644","CACNG4"
"2645","TRPC4"
"2646","GABBR1"
"2647","CTNNAL1"
"2648","BIN2"
"2649","LPAR3"
"2650","TJP2"
"2651","DNAJB4"
"2652","KL"
"2653","MARCO"
"2654","ADD3"
"2655","SLC23A2"
"2656","CHRNA9"
"2657","CD300A"
"2658","SUSD2"
"2659","SWAP70"
"2660","LIMA1"
"2661","ASIC3"
"2662","NPC1L1"
"2663","SLC7A8"
"2664","SLC23A1"
"2665","OPN4"
"2666","CEMIP2"
"2667","CLEC2D"
"2668","SLC12A6"
"2669","ADGRE2"
"2670","RABAC1"
"2671","SCN11A"
"2672","SLC24A2"
"2673","CYTH4"
"2674","CD84"
"2675","SLCO3A1"
"2676","ZDHHC2"
"2677","LNPEP"
"2678","PLXNA1"
"2679","KCNG1"
"2680","ERRFI1"
"2681","LAMP5"
"2682","DBNL"
"2683","STOML2"
"2684","KCND3"
"2685","VPS28"
"2686","AJAP1"
"2687","PILRA"
"2688","CHIC2"
"2689","UTS2R"
"2690","ADAM28"
"2691","PACSIN3"
"2692","PRND"
"2693","TENM1"
"2694","RAB22A"
"2695","HCN2"
"2696","TMPRSS11E"
"2697","TRPC5"
"2698","CDH9"
"2699","EMCN"
"2700","RAB23"
"2701","ACSL5"
"2702","MTUS1"
"2703","LRFN2"
"2704","HEG1"
"2705","GRID1"
"2706","VANGL2"
"2707","PLXNB3"
"2708","TBC1D24"
"2709","TTC7A"
"2710","ZNRF3"
"2711","FZD4"
"2712","CORO1C"
"2713","FZD10"
"2714","CLEC4E"
"2715","MMP17"
"2716","SLC7A7"
"2717","NOTCH3"
"2718","MYO6"
"2719","ALK"
"2720","CLEC4A"
"2721","UBQLN1"
"2722","GUCA1B"
"2723","PCDHA7"
"2724","PCDHA6"
"2725","PCDHA4"
"2726","SLC6A14"
"2727","GABRQ"
"2728","PACSIN2"
"2729","TNFSF18"
"2730","ABCG2"
"2731","GPR132"
"2732","FZD1"
"2733","TFR2"
"2734","PLA2G4C"
"2735","FLVCR2"
"2736","MACF1"
"2737","SLC8A2"
"2738","EXOC7"
"2739","UNC13A"
"2740","IGSF9B"
"2741","MINAR1"
"2742","SHANK2"
"2743","SLC7A11"
"2744","THSD7A"
"2745","RIMS2"
"2746","NEU3"
"2747","CNTN6"
"2748","GAB2"
"2749","CLCA2"
"2750","SCN8A"
"2751","ERVW-1"
"2752","NAALADL1"
"2753","TRPC6"
"2754","MTMR6"
"2755","SLC22A13"
"2756","TRAF3IP3"
"2757","NOD1"
"2758","LZTS1"
"2759","SLC22A14"
"2760","CYSLTR1"
"2761","RASD1"
"2762","TNFSF13B"
"2763","ITM2B"
"2764","SLC5A6"
"2765","TRAPPC4"
"2766","NCKAP1"
"2767","SLC17A4"
"2768","TLR6"
"2769","SLC9A8"
"2770","EFR3B"
"2771","MAST1"
"2772","NISCH"
"2773","NTNG1"
"2774","TBC1D30"
"2775","RPH3A"
"2776","EPB41L3"
"2777","STXBP5L"
"2778","SLC27A6"
"2779","SLC27A5"
"2780","ATP8A1"
"2781","GPR55"
"2782","KCNIP3"
"2783","TMEM98"
"2784","SLC6A5"
"2785","SIT1"
"2786","NAALAD2"
"2787","HCN4"
"2788","GRIP1"
"2789","WNK2"
"2790","ATP6V0A2"
"2791","TLN1"
"2792","ZAN"
"2793","MTCL1"
"2794","TCAF1"
"2795","DAGLA"
"2796","PLXND1"
"2797","WASHC2C"
"2798","FARP1"
"2799","RIPOR2"
"2800","TLN2"
"2801","RAPGEF2"
"2802","DTNA"
"2803","SPEF1"
"2804","PCDHB6"
"2805","PCDHB14"
"2806","PCDHB12"
"2807","PCDHGC4"
"2808","PCDHA9"
"2809","PCDHA2"
"2810","PCDHA10"
"2811","PCDHA1"
"2812","CLDN16"
"2813","ENTPD2"
"2814","HRH3"
"2815","CORIN"
"2816","MMP24"
"2817","TRPV2"
"2818","CDC42BPB"
"2819","NOX1"
"2820","TNFRSF18"
"2821","MAGED1"
"2822","SNX9"
"2823","SNX5"
"2824","NPFFR2"
"2825","FLVCR1"
"2826","PTGDR2"
"2827","LYVE1"
"2828","SCN10A"
"2829","BACE2"
"2830","F11R"
"2831","GPC6"
"2832","NPTN"
"2833","ADGRG1"
"2834","SLC12A7"
"2835","SLC22A7"
"2836","CLIC4"
"2837","SELENOK"
"2838","KCNE3"
"2839","GJA3"
"2840","EPN1"
"2841","KCNE2"
"2842","SLCO1B1"
"2843","PRSS21"
"2844","SLC30A1"
"2845","SLC4A7"
"2846","ROBO1"
"2847","CDH10"
"2848","TNFRSF11A"
"2849","SLC4A4"
"2850","DGKB"
"2851","WASF2"
"2852","ICOS"
"2853","ENPP4"
"2854","HEL-S-165mP"
"2855","Pe1Fe3"
"2856","TRBV19"
"2857","IGHV3-64"
"2858","IGHV4-4"
"2859","IGHV4-30-2"
"2860","TRAV27"
"2861","IGHV1-45"
"2862","IGHV3-49"
"2863","IGHV6-1"
"2864","IGHV3-15"
"2865","IGHV3-21"
"2866","IGHV2-26"
"2867","IGHV3-73"
"2868","IGHV7-81"
"2869","IGHV3-74"
"2870","IGHV3-43"
"2871","IGHV3-72"
"2872","IGHV1-69D"
"2873","IGHV1-3"
"2874","IGHV3-16"
"2875","IGHV1-18"
"2876","IGHV3-20"
"2877","IGHV1-24"
"2878","IGHV4-28"
"2879","IGHV3-35"
"2880","IGHV3-38"
"2881","IGHV5-51"
"2882","IGHV1-58"
"2883","IGHV4-61"
"2884","IGHV3-66"
"2885","IGHV2-70D"
"2886","IGHV1-69-2"
"2887","IGHV7-4-1"
"2888","IGHV3-64D"
"2889","IGHV5-10-1"
"2890","TRBV6-5"
"2891","GPR56"
"2892","MYMX"
"2893","RPSA2"
"2894","FER1L5"
"2895","PTHR1"
"2896","RAB19"
"2897","OR2A25"
"2898","TMEM150B"
"2899","OR14I1"
"2900","TLCD2"
"2901","OR51F1"
"2902","OR2T8"
"2903","OR2AT4"
"2904","EFCAB7"
"2905","ELAPOR2"
"2906","VSTM5"
"2907","NALF1"
"2908","SHISA9"
"2909","TRDC"
"2910","TMEM262"
"2911","SLCO1B7"
"2912","P2RY10"
"2913","GPR171"
"2914","RIMBP2"
"2915","GPR182"
"2916","SLC16A4"
"2917","SLC16A5"
"2918","SLC16A6"
"2919","PCDH7"
"2920","GNG7"
"2921","PCDHGA12"
"2922","OR10H3"
"2923","OR7C2"
"2924","ERVK-19"
"2925","GPR32"
"2926","OR2J3"
"2927","OR2J2"
"2928","OR7C1"
"2929","LY6H"
"2930","OR6B1"
"2931","UBL3"
"2932","OR6A2"
"2933","OR2C1"
"2934","DIRAS3"
"2935","NTSR2"
"2936","GPR75"
"2937","GLP2R"
"2938","OR2H2"
"2939","IGKV1-17"
"2940","IGKV1D-16"
"2941","IGKV2D-40"
"2942","IGKV3-15"
"2943","IGLV1-40"
"2944","IGLV3-19"
"2945","IGLV3-1"
"2946","IGLV3-25"
"2947","IGLV3-27"
"2948","TRBV12-3"
"2949","TRGV3"
"2950","IGLV7-43"
"2951","IGKV1-16"
"2952","IGKV1D-39"
"2953","IGKV3-11"
"2954","TRBV7-9"
"2955","TRAV29DV5"
"2956","IGKV2-30"
"2957","IGKV5-2"
"2958","OR5AL1"
"2959","OR4E1"
"2960","OPN1MW2"
"2961","OPN1MW3"
"2962","IGHV1-8"
"2963","IGHV3-30-3"
"2964","IGHV3-30-5"
"2965","IGHV3-43D"
"2966","IGHV4-30-4"
"2967","IGHV4-31"
"2968","IGHV4-38-2"
"2969","OR1E1"
"2970","OR10J1"
"2971","PTGER1"
"2972","PTGER2"
"2973","KIR2DL2"
"2974","GPR6"
"2975","GPR12"
"2976","OR3A4P"
"2977","OR1E2"
"2978","OR3A3"
"2979","OR3A2"
"2980","GAS1"
"2981","MFAP3"
"2982","XG"
"2983","CLDN20"
"2984","GJA9"
"2985","OR2B6"
"2986","OR12D2"
"2987","RTP1"
"2988","TAS2R43"
"2989","TAS2R46"
"2990","GNG2"
"2991","ERVPABLB-1"
"2992","GPR85"
"2993","ERVS71-1"
"2994","ERVK-21"
"2995","ERVK-24"
"2996","ERVK-7"
"2997","HERVK_113"
"2998","ERVK-8"
"2999","GNG3"
"3000","IGLV3-21"
"3001","ERVK-10"
"3002","RAB40B"
"3003","DRP2"
"3004","OR5I1"
"3005","OR2F1"
"3006","GPR176"
"3007","KIR2DS3"
"3008","P2RY14"
"3009","OR1Q1"
"3010","OR8G1"
"3011","OR8B8"
"3012","GPR19"
"3013","GPR162"
"3014","LY6K"
"3015","SPRED3"
"3016","GOLGA7B"
"3017","PLPPR5"
"3018","MUCL3"
"3019","FAM174B"
"3020","GPR33"
"3021","IL8RB"
"3022","SPRN"
"3023","CATSPERE"
"3024","TMEM63B"
"3025","TMEM170B"
"3026","GPR158"
"3027","CFAP95"
"3028","NKAIN2"
"3029","TMEM198"
"3030","LMBRD2"
"3031","TBC1D3G"
"3032","GPR139"
"3033","OR6B2"
"3034","RGS7BP"
"3035","EMB"
"3036","GJB7"
"3037","GLIPR1L1"
"3038","LRIG3"
"3039","GSG1L"
"3040","TMEM184A"
"3041","CATSPERG"
"3042","PAQR9"
"3043","PLEKHM3"
"3044","CYS1"
"3045","OTOP1"
"3046","OTOP3"
"3047","TMPRSS7"
"3048","PRSS41"
"3049","GPRIN1"
"3050","LYSMD3"
"3051","OR2W3"
"3052","CSMD2"
"3053","ERAS"
"3054","MDGA2"
"3055","PRSS42P"
"3056","VN1R5"
"3057","VN1R4"
"3058","GPR142"
"3059","TAMALIN"
"3060","LHFPL4"
"3061","GPR149"
"3062","P2RY8"
"3063","PAQR7"
"3064","TMEM17"
"3065","RALGPS2"
"3066","PRIMA1"
"3067","TMEM219"
"3068","COL23A1"
"3069","PALM2"
"3070","HYCC2"
"3071","REM2"
"3072","GRAMD1C"
"3073","GPR135"
"3074","ADGRG5"
"3075","SLC38A6"
"3076","CLECL1P"
"3077","KIR2DL5A"
"3078","GAPT"
"3079","ARHGEF39"
"3080","OR2C3"
"3081","PCDH20"
"3082","CLDN22"
"3083","TP53I13"
"3084","NECAP1"
"3085","GPR26"
"3086","GJC3"
"3087","GPR156"
"3088","BEST4"
"3089","OR7G1"
"3090","GPR32P1"
"3091","OR11H7"
"3092","OR4M1"
"3093","OR5T2"
"3094","OR52L1"
"3095","OR52N4"
"3096","OR5AN1"
"3097","OR52H1"
"3098","OR52B4"
"3099","OR8D4"
"3100","OR10G4"
"3101","OR9G4"
"3102","OR1L6"
"3103","OR1B1"
"3104","OR1J2"
"3105","OR13C5"
"3106","OR5H6"
"3107","OR6B3"
"3108","OR6K6"
"3109","OR10T2"
"3110","OR10X1"
"3111","OR6K3"
"3112","OR8U1"
"3113","OR4L1"
"3114","OR5B3"
"3115","OR51Q1"
"3116","OR5W2"
"3117","OR8U3"
"3118","OR9G1"
"3119","OR1S1"
"3120","OR1L1"
"3121","OR2T6"
"3122","KIR2DL5B"
"3123","LYPD6B"
"3124","VXN"
"3125","STOML3"
"3126","OR51E1"
"3127","PROKR1"
"3128","SPACA4"
"3129","RXFP4"
"3130","GPR148"
"3131","GPR119"
"3132","IGDCC4"
"3133","CPLX3"
"3134","NRG4"
"3135","RAB40A"
"3136","OR8D1"
"3137","OR5P3"
"3138","GJA10"
"3139","TAAR8"
"3140","MCHR2"
"3141","MRGPRF"
"3142","KCTD12"
"3143","DIRAS2"
"3144","RHOV"
"3145","MRGPRX4"
"3146","SGCZ"
"3147","FIMP"
"3148","APOLD1"
"3149","OXGR1"
"3150","GPR78"
"3151","OPALIN"
"3152","TECTB"
"3153","OR7D2"
"3154","PANX2"
"3155","TAAR9"
"3156","TAAR1"
"3157","RASL10B"
"3158","GPR20"
"3159","PSD2"
"3160","ORAI3"
"3161","RTBDN"
"3162","TMEM204"
"3163","UPK3B"
"3164","GPR174"
"3165","CACNG6"
"3166","SLC46A2"
"3167","GPR87"
"3168","CNTNAP3"
"3169","GPR63"
"3170","OR2H1"
"3171","OR2J1"
"3172","OR8D2"
"3173","VN1R1"
"3174","TMEM117"
"3175","PCDHAC1"
"3176","CDH19"
"3177","LPAR5"
"3178","OR10A5"
"3179","OR10A4"
"3180","OR2D2"
"3181","SLCO5A1"
"3182","OR51B5"
"3183","OR51B6"
"3184","OR51M1"
"3185","OR51J1"
"3186","IGFLR1"
"3187","CATSPERB"
"3188","POPDC2"
"3189","PCDH9"
"3190","PCDH18"
"3191","ERVK-5"
"3192","OR2S2"
"3193","CNNM1"
"3194","TM7SF3"
"3195","RXFP3"
"3196","IGSF5"
"3197","CATSPERZ"
"3198","NECAP2"
"3199","PAQR5"
"3200","ASIC5"
"3201","TAAR2"
"3202","LRFN1"
"3203","UNC79"
"3204","PCDH10"
"3205","CACNG5"
"3206","GPR160"
"3207","CDH22"
"3208","GNG8"
"3209","OR52A1"
"3210","GJD2"
"3211","CDH7"
"3212","KCNS2"
"3213","PCDHB8"
"3214","PCDHB10"
"3215","PCDHGC3"
"3216","PCDHGB4"
"3217","PCDHA12"
"3218","GPR52"
"3219","OR1A2"
"3220","KCTD3"
"3221","PCDHB9"
"3222","PCDHB7"
"3223","PCDHB5"
"3224","PCDHB4"
"3225","PCDHB3"
"3226","PCDHB2"
"3227","PCDHB15"
"3228","PCDHB13"
"3229","PCDHB11"
"3230","PCDHB1"
"3231","PCDHGC5"
"3232","PCDHGB7"
"3233","PCDHGB6"
"3234","PCDHGB5"
"3235","PCDHGB3"
"3236","PCDHGB2"
"3237","PCDHGB1"
"3238","PCDHGA9"
"3239","PCDHGA8"
"3240","PCDHGA7"
"3241","PCDHGA6"
"3242","PCDHGA5"
"3243","PCDHGA4"
"3244","PCDHGA3"
"3245","PCDHGA2"
"3246","PCDHGA11"
"3247","PCDHGA10"
"3248","PCDHGA1"
"3249","PCDHA8"
"3250","PCDHA5"
"3251","PCDHA3"
"3252","PCDHA13"
"3253","PCDHA11"
"3254","PCDHAC2"
"3255","OR51B2"
"3256","GPR45"
"3257","hCG_1998851"
"3258","hCG_40978"
"3259","HFE2"
"3260","PLXNA4B"
"3261","hCG_39634"
"3262","hCG_2009644"
"3263","FAK"
"3264","IGKV3-7"
"3265","IGKV1D-42"
"3266","IGLV4-69"
"3267","IGLV8-61"
"3268","IGLV4-60"
"3269","IGLV11-55"
"3270","IGLV10-54"
"3271","IGLV1-50"
"3272","IGLV5-48"
"3273","IGLV7-46"
"3274","IGLV5-37"
"3275","IGLV2-33"
"3276","IGLV3-22"
"3277","IGLV2-18"
"3278","IGLV3-16"
"3279","IGLV3-12"
"3280","IGLV3-10"
"3281","IGLV3-9"
"3282","IGLV4-3"
"3283","TRGV11"
"3284","TRBV7-3"
"3285","TRBV20-1"
"3286","TRBV24-1"
"3287","TRBV25-1"
"3288","IGKV2-28"
"3289","TRGV2"
"3290","IGKV2D-24"
"3291","IGKV2D-29"
"3292","IGKV1D-17"
"3293","IGKV1-27"
"3294","IGKV2D-30"
"3295","IGKV1-37"
"3296","TRAV12-2"
"3297","TRAV6"
"3298","TRAV9-1"
"3299","TRAV7"
"3300","TRAV36DV7"
"3301","TRAV23DV6"
"3302","TRAV18"
"3303","IGLV5-45"
"3304","IGKV3D-15"
"3305","IGKV1D-8"
"3306","TRAV30"
"3307","TRAV9-2"
"3308","TRAV26-1"
"3309","TRBV16"
"3310","TBC1D3D"
"3311","IGKV2-40"
"3312","TRBV17"
"3313","TRBV18"
"3314","TBC1D3E"
"3315","IGKV2D-26"
"3316","IGKV3D-11"
"3317","IGLV5-52"
"3318","IGLV3-32"
"3319","TRGV10"
"3320","TRGV1"
"3321","TRBV5-3"
"3322","TRBV6-7"
"3323","TRBV5-7"
"3324","TRBV23-1"
"3325","IGKV6D-21"
"3326","TRAV14DV4"
"3327","TRBV13"
"3328","TRBV6-6"
"3329","TRBV6-8"
"3330","TRAV8-3"
"3331","TRAV8-1"
"3332","TRBV7-1"
"3333","TRAV16"
"3334","TRAV19"
"3335","GPR49"
"3336","IGLV1-36"
"3337","TRGV5"
"3338","TRBV9"
"3339","IGLV9-49"
"3340","IGKV1D-43"
"3341","TRAV2"
"3342","TRAV13-2"
"3343","TRAV8-2"
"3344","TRAV1-2"
"3345","TRAV10"
"3346","TRAV13-1"
"3347","TRAV3"
"3348","TRAV12-1"
"3349","TRAV1-1"
"3350","TRAV5"
"3351","TRAV8-6"
"3352","TRAV39"
"3353","TRAV38-1"
"3354","TRAV26-2"
"3355","TRAV41"
"3356","TRAV4"
"3357","TRAV12-3"
"3358","TRAV24"
"3359","TRAV34"
"3360","TRAV20"
"3361","TRAV17"
"3362","TRAV25"
"3363","TRAV22"
"3364","TRAV21"
"3365","TRAV40"
"3366","IGKV1D-13"
"3367","TRBV12-4"
"3368","IGKV6-21"
"3369","IGKV3D-20"
"3370","IGKV6D-41"
"3371","TRGV8"
"3372","TRGV4"
"3373","IGKV3D-7"
"3374","TRBV5-4"
"3375","IGKV1-8"
"3376","IGKV2-24"
"3377","IGKV1-9"
"3378","IGKV1-6"
"3379","IGKV1-12"
"3380","IGLV5-39"
"3381","TRBV6-9"
"3382","TRBV6-2"
"3383","TRBV10-1"
"3384","TRBV30"
"3385","TRBV11-1"
"3386","TRBV27"
"3387","TRBV6-1"
"3388","TRBV7-7"
"3389","TRBV10-3"
"3390","TRBV10-2"
"3391","TRBV7-6"
"3392","TRBV6-4"
"3393","TRBV7-8"
"3394","TRDV1"
"3395","TRBV2"
"3396","TRBV12-5"
"3397","TRBV7-4"
"3398","TRBV7-2"
"3399","Myo6-008"
"3400","TNFA"
"3401","TRBV4-2"
"3402","TRBV3-1"
"3403","TRBV4-1"
"3404","TRBV5-1"
"3405","TRBV11-2"
"3406","TRBV4-3"
"3407","TRBV5-5"
"3408","TRBV5-6"
"3409","TRBV5-8"
"3410","TRBV11-3"
"3411","TRBV14"
"3412","TRBV28"
"3413","TRBV29-1"
"3414","CXNB"
"3415","CXNK2"
"3416","CXNO"
"3417","CXNR"
"3418","CXNG"
"3419","CXNC"
"3420","CXNN"
"3421","CXNQ"
"3422","GNG5B"
"3423","TRAV38-2DV8"
"3424","TRDV2"
"3425","TRDV3"
"3426","5HT1a"
"3427","CCBP2"
"3428","hCG_20471"
"3429","DYTN"
"3430","IGKV2-29"
"3431","OR2M5"
"3432","GRID2IP"
"3433","OR6C74"
"3434","OR5H15"
"3435","OR6C68"
"3436","TBC1D3B"
"3437","TBC1D3F"
"3438","OR5K3"
"3439","OR6C6"
"3440","OR2W5P"
"3441","OR4C46"
"3442","OR5H14"
"3443","OR6C70"
"3444","RAP1BL"
"3445","CD8B2"
"3446","OR6C65"
"3447","OR5H1"
"3448","OR6C75"
"3449","OR5B21"
"3450","OR2AG2"
"3451","CLDN24"
"3452","OR6C76"
"3453","OR5K4"
"3454","OR52A4P"
"3455","OR4C45"
"3456","GJE1"
"3457","OR11H12"
"3458","TMEM114"
"3459","TMEM150C"
"3460","AJM1"
"3461","RASA4B"
"3462","CLDN25"
"3463","SLC34A2-ROS1"
"3464","OR7A17"
"3465","RTL8C"
"3466","NMDAR2C"
"3467","OR2T1"
"3468","OR10H2"
"3469","OR1I1"
"3470","OR2B3"
"3471","OR7A10"
"3472","OR2F2"
"3473","OR4F21"
"3474","OR5F1"
"3475","TRAV8-4"
"3476","TRGC2"
"3477","OR4A8"
"3478","OR4Q2"
"3479","OR5G3"
"3480","OR5AC1"
"3481","OR10J4"
"3482","OR52Z1P"
"3483","OR8U8"
"3484","OR8U9"
"3485","OR2T7"
"3486","OR56A5"
"3487","TBC1D3H"
"3488","TRGC1"
"3489","OR8G3P"
"3490","OR5H8"
"3491","OR13C7"
"3492","OR12D1"
"3493","IGKV1-13"
"3494","TRAV35"
"3495","TRBV6-3"
"3496","NPY4R2"
"3497","IGKV1D-37"
"3498","IGHV3-38-3"
"3499","IGHV8-51-1"
"3500","IGHV1-38-4"
"3501","MAS1L"
"3502","OR3A1"
"3503","OR1D4"
"3504","OR1G1"
"3505","CLDN12"
"3506","OR1D5"
"3507","OR4D2"
"3508","OR10A3"
"3509","OR2B8P"
"3510","ERVK-25"
"3511","OR4D1"
"3512","OR1C1"
"3513","OR7A5"
"3514","TMEM249"
"3515","NRN1L"
"3516","NKAIN1"
"3517","RFTN2"
"3518","XKR9"
"3519","XKR6"
"3520","XKR3"
"3521","OR2B11"
"3522","OR10J3"
"3523","TMEM240"
"3524","NCMAP"
"3525","MFSD4B"
"3526","OR2G6"
"3527","GPR157"
"3528","CFAP126"
"3529","CHIC1"
"3530","RESDA1"
"3531","DKFZp666O0110"
"3532","KCTD16"
"3533","OR5M10"
"3534","OR4C11"
"3535","OR4F3;"
"3536","OR2T5"
"3537","OR2T2"
"3538","OR8G2P"
"3539","OR2A2"
"3540","OR52W1"
"3541","OR4A47"
"3542","OR10K2"
"3543","OR52E8"
"3544","OR7E24"
"3545","TBC1D3C"
"3546","GPR153"
"3547","XKRX"
"3548","PLET1"
"3549","LYPD4"
"3550","XKR5"
"3551","LYPD8"
"3552","LYPD2"
"3553","KCTD8"
"3554","OTOP2"
"3555","SLC16A14"
"3556","RAB44"
"3557","MRGPRG"
"3558","MRGPRE"
"3559","CABP7"
"3560","LRRTM4"
"3561","CALHM3"
"3562","POTED"
"3563","NKAIN4"
"3564","C1orf210"
"3565","OR4N5"
"3566","OR4N4"
"3567","OR8I2"
"3568","OR5AS1"
"3569","OR8H3"
"3570","OR6V1"
"3571","OR8H2"
"3572","SLC39A11"
"3573","OR2L13"
"3574","NIPA2"
"3575","AMER3"
"3576","TMEM161B"
"3577","VN1R2"
"3578","OR5T1"
"3579","OR2T33"
"3580","OR2T12"
"3581","OR8G5"
"3582","OR2L5"
"3583","OR2M7"
"3584","OR2M3"
"3585","OR2AK2"
"3586","OR2L3"
"3587","OR13H1"
"3588","OR11H1"
"3589","OR7G3"
"3590","OR2Z1"
"3591","OR7G2"
"3592","OR1M1"
"3593","OR7A2P"
"3594","OR10H4"
"3595","OR10H5"
"3596","OR4F17"
"3597","OR4C5"
"3598","OR4S1"
"3599","OR4M2"
"3600","OR4F15"
"3601","OR4F6"
"3602","OR5AU1"
"3603","OR11G2"
"3604","OR4E2"
"3605","OR10G2"
"3606","OR10G3"
"3607","OR6J1"
"3608","OR4K17"
"3609","OR11H6"
"3610","OR11H4"
"3611","OR4N2"
"3612","OR4K2"
"3613","OR4K5"
"3614","OR4K1"
"3615","OR4K14"
"3616","OR10AD1"
"3617","OR6C4"
"3618","OR2AP1"
"3619","OR10P1"
"3620","OR10A7"
"3621","OR9K2"
"3622","OR4D9"
"3623","OR9Q2"
"3624","OR52B6"
"3625","OR52R1"
"3626","OR51D1"
"3627","OR5AP2"
"3628","OR10W1"
"3629","OR5B17"
"3630","OR4B1"
"3631","OR4X2"
"3632","OR8J3"
"3633","OR5T3"
"3634","OR8H1"
"3635","OR8K1"
"3636","OR8B12"
"3637","OR8A1"
"3638","OR8B3"
"3639","OR2D3"
"3640","OR56A1"
"3641","OR52L2P"
"3642","OR56A4"
"3643","OR52E4"
"3644","OR52N2"
"3645","OR56B2P"
"3646","OR56B1"
"3647","OR4D11"
"3648","OR4D10"
"3649","OR10V1"
"3650","OR5A2"
"3651","OR5A1"
"3652","OR4D6"
"3653","OR52E1"
"3654","OR52E2"
"3655","OR51L1"
"3656","OR51A4"
"3657","OR51A2"
"3658","OR51S1"
"3659","OR51T1"
"3660","OR51G2"
"3661","OR51G1"
"3662","OR52K2"
"3663","OR52K1"
"3664","OR52M1"
"3665","OR52I1"
"3666","OR5D16"
"3667","OR5L2"
"3668","OR5D18"
"3669","OR5L1"
"3670","OR5D14"
"3671","OR5D13"
"3672","OR4A15"
"3673","OR4P4"
"3674","OR4C16"
"3675","OR4C15"
"3676","OR6M1"
"3677","OR4D5"
"3678","OR6T1"
"3679","OR10S1"
"3680","OR10G9"
"3681","OR10G8"
"3682","OR10G7"
"3683","OR10D4P"
"3684","OR4A4P"
"3685","OR4C13"
"3686","OR8J1"
"3687","OR5M9"
"3688","OR5M3"
"3689","OR5M8"
"3690","OR5M1"
"3691","OR5AR1"
"3692","OR6Q1"
"3693","OR1S2"
"3694","OR10Q1"
"3695","OR9Q1"
"3696","OR9I1"
"3697","OR13A1"
"3698","OR1K1"
"3699","OR5C1"
"3700","OR1L4"
"3701","OR1L8"
"3702","OR1N2"
"3703","OR1N1"
"3704","OR1J4"
"3705","OR1J1"
"3706","OR13F1"
"3707","OR13C4"
"3708","OR13C3"
"3709","OR13C8"
"3710","OR13C2"
"3711","OR13C9"
"3712","OR2K2"
"3713","OR13J1"
"3714","OR9A2"
"3715","OR2A12"
"3716","OR2A1;"
"3717","OR9A1P"
"3718","OR9A4"
"3719","OR2I1P"
"3720","GPR150"
"3721","OR2Y1"
"3722","OR13D1"
"3723","OR5H2"
"3724","OR11L1"
"3725","OR2T34"
"3726","OR2T35"
"3727","OR10K1"
"3728","OR10R2"
"3729","OR6Y1"
"3730","OR6P1"
"3731","OR10Z1"
"3732","OR6K2"
"3733","OR6N1"
"3734","OR6N2"
"3735","OR10J6P"
"3736","OR2L8"
"3737","OR2AJ1"
"3738","OR14K1"
"3739","OR13G1"
"3740","OR2G3"
"3741","OR2G2"
"3742","OR6F1"
"3743","OR2T10"
"3744","OR2T4"
"3745","OR2T11"
"3746","OR2T29"
"3747","OR2T3"
"3748","OR2T27"
"3749","OR4Q3"
"3750","OR1P1"
"3751","OR11H2"
"3752","OR10AC1"
"3753","OR8S1"
"3754","OR2L2"
"3755","OR5J2"
"3756","OR10AG1"
"3757","OR4C3"
"3758","OR6S1"
"3759","OR4K15"
"3760","OR4K13"
"3761","OR4X1"
"3762","OR8K5"
"3763","OR8K3"
"3764","OR52N1"
"3765","OR56A3"
"3766","OR52E5"
"3767","OR52N5"
"3768","OR52P1"
"3769","OR52J3"
"3770","OR51F2"
"3771","OR51H1"
"3772","OR51A7"
"3773","OR52I2"
"3774","OR4A16"
"3775","OR4C6"
"3776","OR4S2"
"3777","OR10A6"
"3778","OR56B4"
"3779","OR6X1"
"3780","OR10D3"
"3781","OR10G6"
"3782","OR4A5"
"3783","OR5AK3P"
"3784","OR5AK2"
"3785","OR1L3"
"3786","OR13C6P"
"3787","OR2AE1"
"3788","OR2W6P"
"3789","OR1F12P"
"3790","OR2V1"
"3791","OR5K1"
"3792","OR5K2"
"3793","OR14A16"
"3794","OR14L1P"
"3795","OR14C36"
"3796","MOSMO"
"3797","TLCD3A"
"3798","MRGPRD"
"3799","VN1R17P"
"3800","OR5P2"
"3801","OR1E3"
"3802","CLDN23"
"3803","GPR146"
"3804","IGSF21"
"3805","GJD4"
"3806","MRGPRX3"
"3807","GPR82"
"3808","GNRHR2"
"3809","PANX3"
"3810","OR5B12"
"3811","OR5B2"
"3812","OR2M4"
"3813","OR2M2"
"3814","OR2V2"
"3815","OR2A7"
"3816","OR2A14"
"3817","OR2A5"
"3818","OR14A2"
"3819","OR4C12"
"3820","OR4F4"
"3821","OR4K3"
"3822","OR1F2P"
"3823","OR5M11"
"3824","OR8B4"
"3825","OR8B2"
"3826","OR6C1"
"3827","OR52B2"
"3828","OR52E6"
"3829","PCDHB18P"
"3830","GML"
"3831","TRGV9"
"3832","GPR21"
"3833","GPR22"
"3834","MARVELD1"
"3835","VN1R3"
"3836","OR2B2"
"3837","OR11A1"
"3838","OR2AG1"
"3839","OR10A2"
"3840","OR52A5"
"3841","OR51V1"
"3842","OR51I1"
"3843","OR51I2"
"3844","OR52D1"
"3845","PLGRKT"
"3846","NRN1"
"3847","GPR173"
"3848","GPR27"
"3849","ERVK13-1"
"3850","PLEK2"
"3851","OR6C3"
"3852","OR6C2"
"3853","OR5AC2"
